roadsectionid,coordx,coordy,cctvresolution,filecreatetime,cctvtype,cctvformat,cctvname,cctvurl
,126.9757,35.8846,,,1,HLS,[국도 21호선] 김제 학동IC,http://cctvsec.ktict.co.kr/4319/OOTuDlmwjNIDfp9eH7BUXq0x740OGRKawkgtsmsjLwRE/8xRdp8f6vqz/t9XpGCrhQCyjDS1MjXNWNj92KmZ31HER/T0hdQljbi4QiCWRDM=
,126.9037,35.8866,,,1,HLS,[국도 21호선] 김제 공덕IC,http://cctvsec.ktict.co.kr/4320/5PPhGKlo1fR0KPUHsgz20shmGIqWORo9zwd6ronDMX7Hl+r5HcdIOMGMQbAECIaI4X/sq5fzfWJkNrAWMT0zmBG5eoT4YPYukq40bpaFHKk=
,126.815,35.9362,,,1,HLS,[국도 21호선] 군산 대야교차로,http://cctvsec.ktict.co.kr/4321/Ptdy/T7QP7ZS7P0cEc0E/QjHvpR5wZWU69FCL6qyPSXoNUR/ILblWjP2BdZL7MlhFfYdWTol20BZ2IPFOtLi5+Z19gojDUFTRSphELyXoK8=
,126.5336,35.0209,,,1,HLS,[국도 1호선] 함평 학교4,http://cctvsec.ktict.co.kr/4325/vQK1u8pj220lw3T7Fl4VAL/P2rGGRjJt6TN1AhdOTn9mMpKCLmOqdzdmnCYkxiKQWPuXyxKD43ZqIH25Pjti9WYg5Oneq//SwHQdzOUrntA=
,126.4632,34.9969,,,1,HLS,[국도 1호선] 무안 교촌IC,http://cctvsec.ktict.co.kr/4326/N8yJEVuxUfKeGszmF8CVMwTUOxkIincw5i/q/zVoBT8reYlbe9mrzoSFYu+rxfboSA23L3RdwDSXKzrT4tt0wCiTxLFXIgZ8Jhfc30Oyyxw=
,126.445,34.9548,,,1,HLS,[국도 1호선] 무안 태봉IC,http://cctvsec.ktict.co.kr/4327/E6Q7AebVw/cAi2F0Y+Kbc6d9MPdGUd3L95SoLgsTRtNf0fIoPR50pBvrHazYYWZzAW8m3vwloQTeainqH2GMB1A4SnX5Oty45TGThdAwKJA=
,126.426,34.921,,,1,HLS,[국도 1호선] 무안 청계3,http://cctvsec.ktict.co.kr/4328/iJWSOJAoY4pTh3RY4W9PSha4uZpwNIvxrVPbJDunHq5o83/oDjeChLGMuzjc/6fBx4svmuF2VTH/E8MS4I+1Hoo/J3VqyXRanB3S84Vy7cY=
,126.4302,34.9079,,,1,HLS,[국도 1호선] 무안 목포대4,http://cctvsec.ktict.co.kr/4329/ff5G6WHwiyfQs3Lvx4hzxqlPw+FBO2MqCoqeA9JJv9ayZsgGKpN9KOM7YRRDR4ZmMV6GSzYSHCbk+4mVwWvBIi+XN6ox1ntxhu39JHMauTI=
,126.4246,34.8751,,,1,HLS,[국도 1호선] 무안 삼향농공단지,http://cctvsec.ktict.co.kr/4330/qYXlcpd9LWmf70eFVeKZCCfImEJ5g/wwkhBeFkofNqPOAr4sD97rwb9QRcl8/xXisrvV94H+7/sVJGPqIyunCU50GsYUdseHGlfr/RFLJhk=
,126.7854,35.2949,,,1,HLS,[국도 1호선] 장성 장성교차로,http://cctvsec.ktict.co.kr/4333/AnL02eK/rS0VtuA/nRZbPOWdrYLRKvXsZ7Yitc8TBmq4r2YHFgMmAK20qvgWtrVMh70L1dEQpq9BMhQQ6Sz0CvQEXXWUjleM+mjgj6N8piM=
,126.8347,35.3458,,,1,HLS,[국도 1호선] 장성 덕산마을부근,http://cctvsec.ktict.co.kr/4334/1x+bjSM8EtFd+r2sfaZkIabNdJBgQCcdxC+8DdRQLra+DaeUgq0H+4YNzWD42ln0BINvBg83R9UWGiiVINFkdsBE3JL0SJhcvhoZ5nRClQE=
,126.9359732,37.17685286,,,1,HLS,[국도 43호선] 화성 덕리사거리,http://cctvsec.ktict.co.kr/4395//td3w/nYQHUDkoggtB6FGSbbWcTwJfWV/elJJbUlyM/lMRZtpSJS6zhVl4PHSvFAzklfAAmR79oHoaJbSFYEWqwnmZl0WfDzFS4LNne6cOg=
,126.65383,36.57321,,,1,HLS,[국도 21호선] 홍성 마온교차로,http://cctvsec.ktict.co.kr/4586/X9FY9D55RiysMAa/eB4SvQuCaHb1fPLVDD5+1l4ouUURa64siKXjVZFXa4ww5ALHzPsBJG53gY48Yu+vg27g8DGJPBUXW+9r1n4jxW15yug=
,126.63449,36.54232,,,1,HLS,[국도 21호선] 홍성 지정삼거리,http://cctvsec.ktict.co.kr/4587/EM/6OjXs9axd8PC1oTFf9xK8KwhYSryfzbYtjsYmBly7BOdl5AcfAM2QbPm+gUSJaFVHNhoxE4Pu61YjGo9vYxhx+N8Za+X7g3PrgHnFgb0=
,126.887502,36.749568,,,1,HLS,[국도 21호선] 아산 시전사거리,http://cctvsec.ktict.co.kr/4588/Fut0lRJ31WFYo6ycRjvzpIR1U8UVs0J3sCcO0nWQ8RARSsxsF8ov086B+ZKMOndGz4jCA3s+PfAEIuczfWIIiYkAg9lNLRvJqAjLuYRktpE=
